architecture,architecture_label,sample_size,dataset,noise,n_runs,mae_mean,mae_std,rmse_mean,rmse_std,mape_percent_mean,mape_percent_std,r2_mean,r2_std,violation_rate_percent_mean,violation_rate_percent_std,parameter_count_mean,parameter_count_std,train_seconds_mean,train_seconds_std,ms_per_sample_mean,ms_per_sample_std
MLP_DEPTH_1,MLP-1 hidden layer,20000,internal_test,10dB,1,73.51741028,0,95.69160773,0,3.402375802,0,0.970938606,0,2.100673801,0,82890,0,9.9413928,0,0.010995109,0
MLP_DEPTH_1,MLP-1 hidden layer,20000,internal_test,20dB,1,32.17884827,0,44.12287669,0,1.497142576,0,0.99382131,0,0.673801031,0,82890,0,9.9413928,0,0.010995109,0
MLP_DEPTH_1,MLP-1 hidden layer,20000,internal_test,30dB,1,23.11598206,0,34.84363614,0,1.072664559,0,0.996146852,0,0.277447483,0,82890,0,9.9413928,0,0.010995109,0
MLP_DEPTH_1,MLP-1 hidden layer,20000,internal_test,clean,1,21.67096901,0,33.54617452,0,1.003339421,0,0.996428466,0,0.277447483,0,82890,0,9.9413928,0,0.010995109,0
MLP_DEPTH_1,MLP-1 hidden layer,30000,internal_test,10dB,1,68.21014404,0,88.55288409,0,3.111598454,0,0.975112907,0,1.823226318,0,82890,0,11.7086034,0,0.011181974,0
MLP_DEPTH_1,MLP-1 hidden layer,30000,internal_test,20dB,1,29.56326866,0,40.18912656,0,1.354639977,0,0.994873914,0,0.634165676,0,82890,0,11.7086034,0,0.011181974,0
MLP_DEPTH_1,MLP-1 hidden layer,30000,internal_test,30dB,1,21.68387413,0,32.00367525,0,0.997683872,0,0.996749363,0,0.277447483,0,82890,0,11.7086034,0,0.011181974,0
MLP_DEPTH_1,MLP-1 hidden layer,30000,internal_test,clean,1,20.49742508,0,30.84994813,0,0.941858441,0,0.996979508,0,0.277447483,0,82890,0,11.7086034,0,0.011181974,0
MLP_DEPTH_1,MLP-1 hidden layer,50000,internal_test,10dB,1,60.08113861,0,78.3336495,0,2.726457641,0,0.980525539,0,1.664684899,0,82890,0,17.4506093,0,0.010847626,0
MLP_DEPTH_1,MLP-1 hidden layer,50000,internal_test,20dB,1,26.97021484,0,36.5534661,0,1.224778313,0,0.995759414,0,0.554894966,0,82890,0,17.4506093,0,0.010847626,0
MLP_DEPTH_1,MLP-1 hidden layer,50000,internal_test,30dB,1,20.68780518,0,30.13839437,0,0.9462527,0,0.997117237,0,0.277447483,0,82890,0,17.4506093,0,0.010847626,0
MLP_DEPTH_1,MLP-1 hidden layer,50000,internal_test,clean,1,19.78499031,0,29.20327444,0,0.90441145,0,0.997293352,0,0.356718193,0,82890,0,17.4506093,0,0.010847626,0
MLP_DEPTH_1,MLP-1 hidden layer,75000,internal_test,10dB,1,55.84773254,0,72.48065138,0,2.52363719,0,0.983327032,0,1.228695997,0,82890,0,24.9889435,0,0.010740024,0
MLP_DEPTH_1,MLP-1 hidden layer,75000,internal_test,20dB,1,24.9872036,0,34.33615881,0,1.131768432,0,0.996258272,0,0.396353547,0,82890,0,24.9889435,0,0.010740024,0
MLP_DEPTH_1,MLP-1 hidden layer,75000,internal_test,30dB,1,19.34621811,0,28.5968204,0,0.882457942,0,0.9974046,0,0.198176774,0,82890,0,24.9889435,0,0.010740024,0
MLP_DEPTH_1,MLP-1 hidden layer,75000,internal_test,clean,1,18.62147903,0,27.88759503,0,0.850157533,0,0.99753174,0,0.198176774,0,82890,0,24.9889435,0,0.010740024,0
MLP_DEPTH_1,MLP-1 hidden layer,100000,internal_test,10dB,1,54.83861542,0,71.03327442,0,2.473877743,0,0.983986274,0,1.50614348,0,82890,0,33.84787,0,0.011327142,0
