noise,layer,layer_mae_mean,layer_mae_std,n_seeds
clean,1,8.808171908060709,0.5931545115694808,3
clean,2,6.62424882253011,0.5142097808052992,3
clean,3,7.894029299418132,0.35471187895899386,3
clean,4,9.48275883992513,0.1782252460844678,3
clean,5,10.69302781422933,0.11293029906094378,3
clean,6,11.346765200297037,0.07872735406890786,3
clean,7,11.48745059967041,0.0900783580012921,3
clean,8,10.716011683146158,0.10917726799249572,3
clean,9,8.972804069519043,0.190390703220567,3
clean,10,4.699374755223592,0.6788068349818588,3
30dB,1,11.014053662618002,0.590698869880747,3
30dB,2,9.084003130594889,0.5250461903893648,3
30dB,3,9.576803207397461,0.37192444146446635,3
30dB,4,10.731274922688803,0.151507209731268,3
30dB,5,11.48442268371582,0.11146453786303036,3
30dB,6,12.03891658782959,0.07121655924917875,3
30dB,7,12.247254689534506,0.07402779485372653,3
30dB,8,11.768845558166504,0.12960826788177726,3
30dB,9,10.466742197672525,0.1920553051955912,3
30dB,10,8.082689762115479,0.31780161613995506,3
20dB,1,18.686806360880535,0.38935762745478164,3
20dB,2,16.780280431111652,0.316501439742426,3
20dB,3,16.191036860148113,0.1554212157296852,3
20dB,4,16.33301544189453,0.08602171813254583,3
20dB,5,16.67811330159505,0.1902959633420413,3
20dB,6,17.051727294921875,0.21940825827449295,3
20dB,7,17.402252833048504,0.2827207477544657,3
20dB,8,17.95096270243327,0.41712775905485533,3
20dB,9,18.18855158487956,0.45963931196838964,3
20dB,10,18.503895441691082,0.4476796626166132,3
10dB,1,39.36176045735677,0.9660901690036194,3
10dB,2,38.543374379475914,1.0709163079698156,3
10dB,3,38.467455546061196,1.0746808350571988,3
10dB,4,38.553601582845054,1.1096477757257301,3
10dB,5,38.698079427083336,1.2540779158114916,3
10dB,6,39.20314915974935,1.5638053676132246,3
10dB,7,39.86258316040039,1.6483526451839638,3
10dB,8,40.41849263509115,1.4861947503009212,3
10dB,9,41.13425954182943,1.6869624898928508,3
10dB,10,41.880452473958336,1.827705083064719,3
